,User_ID,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
0,0,2024-12-25,11004,7.1100001335144,2.5699999332428,0.46000000834465,4.07000017166138,0.0,33,12,205,804,1819
1,0,2024-12-26,17609,11.5500001907349,6.92000007629395,0.730000019073486,3.91000008583069,0.0,89,17,274,588,2154
2,0,2024-12-27,12736,8.52999973297119,4.65999984741211,0.159999996423721,3.71000003814697,0.0,56,5,268,605,1944
3,0,2024-12-28,13231,8.93000030517578,3.19000005722046,0.790000021457672,4.94999980926514,0.0,39,20,224,1080,1932
4,0,2024-12-29,12041,7.84999990463257,2.16000008583069,1.0900000333786,4.6100001335144,0.0,28,28,243,763,1886
5,0,2024-12-30,10970,7.15999984741211,2.35999989509583,0.509999990463257,4.28999996185303,0.0,30,13,223,1174,1820
6,0,2024-12-31,12256,7.8600001335144,2.28999996185303,0.490000009536743,5.03999996185303,0.0,33,12,239,820,1889
7,0,2025-01-01,12262,7.86999988555908,3.3199999332428,0.829999983310699,3.64000010490417,0.0,47,21,200,866,1868
8,0,2025-01-02,11248,7.25,3.0,0.449999988079071,3.74000000953674,0.0,40,11,244,636,1843
9,0,2025-01-03,10016,6.36999988555908,0.910000026226044,1.27999997138977,4.17999982833862,0.0,15,30,314,655,1850
10,0,2025-01-04,14557,9.80000019073486,3.39000010490417,0.699999988079071,5.69000005722046,0.0,43,18,285,757,2030
11,0,2025-01-05,14844,9.72999954223633,2.94000005722046,0.759999990463257,6.03999996185303,0.0,36,18,341,736,2083
12,0,2025-01-06,11974,7.67000007629395,2.03999996185303,0.479999989271164,5.15000009536743,0.0,27,12,228,1173,1861
13,0,2025-01-07,10198,6.44000005722046,1.20000004768372,0.790000021457672,4.44999980926514,0.0,17,20,195,1208,1755
14,0,2025-01-08,12521,7.94000005722046,3.30999994277954,0.899999976158142,3.74000000953674,0.0,46,22,212,1160,1895
15,0,2025-01-09,12432,8.10000038146973,2.58999991416931,0.589999973773956,4.92000007629395,0.0,32,15,248,738,1883
16,0,2025-01-10,10057,6.98000001907349,4.0,0.490000009536743,2.48000001907349,0.0,44,13,168,737,1755
17,0,2025-01-11,10990,7.26000022888184,2.03999996185303,0.569999992847443,4.65000009536743,0.0,26,14,216,855,1811
18,0,2025-01-12,224,0.140000000596046,0.0,0.0,0.129999995231628,0.0,0,0,9,32,50
0,0,2025-01-12,13162,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985
